기관명,시도,시군구,주소,전화,유형
영동군정신건강복지센터,충청북도,영동군,충청북도 영동군 영동읍 반곡동길 7 영동군보건소,043-740-5610,기초 정신건강복지센터
옥천군정신건강복지센터,충청북도,옥천군,충청북도 옥천군 옥천읍 삼양로8길 10 옥천군보건소 건강증진센터 3층,043-730-2199,기초 정신건강복지센터
음성군정신건강복지센터,충청북도,음성군,충북 음성군 음성읍 중앙로 49 3층 음성군 정신건강복지센터,043-872-1883,기초 정신건강복지센터
제천시정신건강복지센터,충청북도,제천시,충청북도 제천시 의림대로 242 종합보건복지센터 3층,043-646-3074~5,기초 정신건강복지센터
증평군정신건강복지센터,충청북도,증평군,충청북도 증평군 증평읍 보건복지로 64-1,043-835-4276~9,기초 정신건강복지센터
진천군정신건강복지센터,충청북도,진천군,충청북도 진천군 진천읍 중앙북1길 11-8 진천군보건소 별관 2층,043-536-8387,기초 정신건강복지센터
청주시청원정신건강복지센터,충청북도,청원구,충정북도 청주시 청원구 오창읍 과학산업 3로 238 청원보건소 1층,043-215-6868,기초 정신건강복지센터
충주시정신건강복지센터,충청북도,충주시,충북 충주시 사직산21길 34 충주시정신건강복지센터,043-855-4006,기초 정신건강복지센터
청주시흥덕정신건강복지센터,충청북도,흥덕구,충청북도 청주시 흥덕구 비하로 15번길 16,043-234-8686,기초 정신건강복지센터
청주하나병원,충청북도,흥덕구,충청북도 청주시 흥덕구 2순환로 1262 청주하나병원,,생명사랑위기대응센터
